Model Name,Accuracy,Balanced Accuracy,F1 Score
Predict 0 all,0.8255240443896424,0.4996268656716418,0.747181505898089
SimpleCNN_V1_93,0.8495684340320592,0.8515586958822907,0.861512980221467
SimpleCNN_V2_74,0.9149198520345253,0.8673123742987192,0.9161648197233038
SimpleCNN_V3_82,0.9173859432799013,0.9178019477082672,0.921558725910759
TinyVgg_V1_93,0.8569667077681874,0.8504366465544617,0.8673497503298485
EfficientNet_B0_Finetune,0.969173859432799,0.9393458240711337,0.9689529428267989
